epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1301.81,0.85094,0.98787,1.26439,0.88669,0.77307,0.88488,0.75064,0.62702,0.73219,1.03408,0.001816,0.001816,0.001816
64,1318.55,0.84683,0.9472,1.25443,0.90751,0.77362,0.88331,0.75609,0.62711,0.73685,1.0368,0.001684,0.001684,0.001684
65,1335.15,0.83041,0.94429,1.24758,0.89993,0.7827,0.88447,0.75977,0.63458,0.7431,1.04341,0.001552,0.001552,0.001552
66,1353.62,0.79142,0.80154,1.24432,0.88419,0.80908,0.88355,0.75076,0.64054,0.74185,1.04296,0.00142,0.00142,0.00142
67,1369.72,0.75995,0.76162,1.22897,0.88511,0.79497,0.88451,0.75611,0.6325,0.74223,1.03552,0.001288,0.001288,0.001288
68,1386.01,0.75686,0.74126,1.21592,0.8652,0.82595,0.89461,0.76307,0.63368,0.68895,1.04031,0.001156,0.001156,0.001156
69,1402.64,0.73103,0.69223,1.18878,0.88598,0.81849,0.8914,0.7577,0.63302,0.68774,1.03762,0.001024,0.001024,0.001024
70,1418.81,0.72477,0.68967,1.19192,0.89005,0.80996,0.88791,0.7626,0.62591,0.71233,1.04632,0.000892,0.000892,0.000892
71,1435.11,0.71953,0.68241,1.18128,0.8632,0.83112,0.88547,0.76342,0.62314,0.72432,1.04679,0.00076,0.00076,0.00076
72,1451.4,0.71121,0.66624,1.18505,0.85889,0.82334,0.88511,0.76395,0.62241,0.70739,1.04258,0.000628,0.000628,0.000628
73,1467.75,0.70276,0.66455,1.18383,0.88375,0.81686,0.8874,0.76764,0.61495,0.70274,1.0378,0.000496,0.000496,0.000496
74,1484.43,0.69183,0.64343,1.1752,0.88283,0.82145,0.88758,0.76773,0.61139,0.71893,1.03437,0.000364,0.000364,0.000364
75,1501.1,0.68659,0.61344,1.16476,0.8941,0.80755,0.88716,0.77262,0.60905,0.69972,1.03557,0.000232,0.000232,0.000232
